Time,Reference X Velocity,Reference Y Velocity,Reference Angular Velocity,Reference Angle,Measured X Velocity,Measured Y Velocity,Measured Angular Velocity,Measured Angle,Measured X,Measured Y
0.38756656646728516,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.5249278545379639,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.6328842639923096,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.7234058380126953,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.8378820419311523,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.9505593776702881,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0557327270507812,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.1649270057678223,0,0,0.0,0,0.0,0.0,0.0,0.6446639767892436,-11.409442206786746,-3.5952053664156316
1.274705171585083,0,0,0.0,0,0.0,0.0,0.0,1.2893279535784872,-22.818884413573493,-7.190410732831263
1.3852133750915527,0,0,0.0,0,0.0,0.0,0.0,1.2893279535784872,-23.146374398645115,-7.281835923591292
1.4949769973754883,0,0,0.0,0,-97.42807002775584,-65.70905076625714,4.3351783323461035,1.2893279535784872,-23.47386438371674,-7.373261114351322
1.614079236984253,0,0,0.0,0,-97.42807002775584,-65.70905076625714,4.3351783323461035,1.2893279535784872,-23.47386438371674,-7.373261114351322
1.7255043983459473,0,0,0.0,0,-4.220242945736801,-0.7324050742953179,0.8501277098768902,1.2893279535784872,-23.47386438371674,-7.373261114351322
1.8371789455413818,0,0,0.0,0,-3.703823413259039,-0.7324050742953179,0.21925837788841662,1.2932984186861085,-23.47386438371674,-7.373261114351322
1.944887399673462,0,0,0.0,0,-3.703823413259039,-0.7324050742953179,0.3182487692830843,1.3015025868543562,-23.47386438371674,-7.373261114351322
2.0547232627868652,0,0,0.0,0,-3.107090448830542,-0.7324050742953179,0.21925837788841662,1.3057362899149823,-23.533834713759216,-7.410109329230798
2.163954734802246,0,0,0.0,0,-3.107090448830542,-1.0381834635486102,0.09029012547510007,1.3057362899149823,-23.673876538628225,-7.509477566571714
2.271475076675415,0,0,0.0,0,-0.8161062915516015,-1.0381834635486102,0.033707841585374654,1.3057362899149823,-23.75394803345476,-7.571997589033157
2.395993947982788,0,0,0.0,0,-0.42838888324864643,-0.7428775431670983,0.0061391688305034164,1.3057362899149823,-23.75394803345476,-7.571997589033157
2.5075082778930664,0,0,0.0,0,-0.6176995784186944,-0.7428775431670983,0.0006387884770797589,1.3057362899149823,-23.75394803345476,-7.571997589033157
2.6329493522644043,0,0,0.0,0,-0.42838888324864643,-0.4695218535889092,0.0006387884770797589,1.3057362899149823,-23.75394803345476,-7.571997589033157
2.7563159465789795,0,0,0.0,0,-0.11506320566851203,-0.09155641403108204,0.0006387884770797589,1.3057362899149823,-23.75394803345476,-7.571997589033157
2.8588149547576904,0,0,0.0,0,-0.012167066826742637,-0.010141957724611059,5.208200377511537e-05,1.3057362899149823,-23.75394803345476,-7.571997589033157
2.9733657836914062,0,0,0.0,0,-0.012167066826742637,-0.010141957724611059,3.6850939223566164e-06,1.3057362899149823,-23.75394803345476,-7.571997589033157
3.085829257965088,0,0,0.0,0,-0.001012340691365873,-0.0008969744981459101,2.3738118877665086e-07,1.3057362899149823,-23.75394803345476,-7.571997589033157
3.1956264972686768,0,0,0.0,0,-7.362232522762826e-05,-7.051443179939292e-05,1.4297966473462667e-08,1.3057362899149823,-23.75394803345476,-7.571997589033157
3.3020057678222656,0,0,0.0,0,-4.918886630501607e-06,-5.171745425416385e-06,1.4297966473462667e-08,1.3218944194468942,-23.55298074241736,-7.501835197479334
3.411353349685669,0,0,0.0,0,-3.10540835066239e-07,-3.626079940396505e-07,1.4297966473462667e-08,1.3380525489788062,-23.352013451379968,-7.431672805925511
3.5210201740264893,0,0,0.0,0,-3.10540835066239e-07,-3.626079940396505e-07,8.186283116018777e-10,1.3380525489788062,-23.352013451379968,-7.431672805925511
3.644773244857788,0,0,0.0,0,1.1062034295657555,-3.626079940396505e-07,0.10866410329923637,1.3380525489788062,-23.352013451379968,-7.431672805925511
3.754645824432373,0,0,0.0,0,1.1062034295657555,0.34663891584396034,0.10866410329923637,1.3380525489788062,-23.352013451379968,-7.431672805925511
3.862696409225464,0,0,0.0,0,0.32512346951643906,0.019405629101874773,0.02130800810484268,1.3380525489788062,-23.352013451379968,-7.431672805925511
3.974533796310425,0,0,0.0,0,0.030406753086523613,-0.01136355202281189,0.0022630729482535084,1.3380525489788062,-23.352013451379968,-7.431672805925511
4.0876476764678955,0,0,0.0,0,0.030406753086523613,-0.0031662577474309782,0.0022630729482535084,1.3380525489788062,-23.352013451379968,-7.431672805925511
4.209672689437866,0,0,0.0,0,-0.0001086734383343043,-0.0004997879419592535,0.00018637273786916396,1.3380525489788062,-23.352013451379968,-7.431672805925511
4.319829225540161,0,0,0.0,0,-0.0001086734383343043,-0.0004997879419592535,1.327036241697058e-05,1.3380525489788062,-23.352013451379968,-7.431672805925511
4.426345586776733,0,0,0.0,0,-0.0001086734383343043,-0.0004997879419592535,8.58810004401644e-07,1.3380525489788062,-23.352013451379968,-7.431672805925511
4.5398547649383545,0,0,0.0,0,-1.368616462387976e-05,-6.02373685218812e-05,5.192478529598878e-08,1.3380525489788062,-23.352013451379968,-7.431672805925511
4.651050090789795,0,0,0.0,0,-1.4180816076436857e-06,-6.126143949081243e-06,2.982839813152919e-09,1.3380525489788062,-23.352013451379968,-7.431672805925511
